Code,Year,Est
AFG,2012,621.745
AFG,2013,636.3249999999999
AFG,2014,664.814
AFG,2015,692.996
AFG,2016,723.484
AFG,2017,751.474
AFG,2018,773.043
AGO,2012,5873.316000000001
AGO,2013,6033.179
AGO,2014,6292.397
AGO,2015,6552.606000000001
AGO,2016,6832.554
AGO,2017,6883.018
AGO,2018,7227.786999999999
ALB,2012,3912.806
ALB,2013,4108.395
ALB,2014,4239.7210000000005
ALB,2015,4377.027
ALB,2016,4529.898
ALB,2017,4696.176
ALB,2018,4871.896000000001
ARE,2012,64840.282999999996
ARE,2013,64779.94
ARE,2014,64968.307
ARE,2015,65256.450000000004
ARE,2016,65988.41799999999
ARE,2017,67028.07900000001
ARE,2018,68385.26699999999
ARG,2012,11576.212000000001
ARG,2013,12019.176
ARG,2014,12229.055999999999
ARG,2015,12349.692000000001
ARG,2016,12626.108
ARG,2017,12906.342
ARG,2018,13240.7
ARM,2012,2990.8830000000003
ARM,2013,3037.467
ARM,2014,2996.4500000000003
ARM,2015,3054.04
ARM,2016,3216.387
ARM,2017,3419.443
ARM,2018,3669.5
ATG,2012,13428.640000000001
ATG,2013,14056.904999999999
ATG,2014,14931.561
ATG,2015,15886.193000000001
ATG,2016,16924.514
ATG,2017,17988.315
ATG,2018,19066.658999999996
AUS,2012,67722.59199999999
AUS,2013,68939.332
AUS,2014,69674.21299999999
AUS,2015,70604.729
AUS,2016,71836.53199999999
AUS,2017,73189.193
AUS,2018,74635.056
AUT,2013,49844.19699999999
AUT,2014,50921.404
AUT,2015,52050.168
AUT,2016,53144.994
AUT,2017,54260.57
AUT,2018,55355.719
AZE,2012,7450.237999999999
AZE,2013,8296.962
AZE,2014,9452.153
AZE,2015,10544.522
AZE,2016,11504.31
AZE,2017,12463.945
AZE,2018,13616.686
BDI,2012,282.094
BDI,2013,288.452
BDI,2014,314.239
BDI,2015,339.883
BDI,2016,365.58799999999997
BDI,2017,410.763
BDI,2018,457.42199999999997
BEL,2013,45687.074
BEL,2014,46197.419
BEL,2015,46681.853
BEL,2016,47170.186
BEL,2017,47719.896
BEL,2018,48291.434
BEN,2012,794.433
BEN,2013,858.268
BEN,2014,889.9369999999999
BEN,2015,926.082
BEN,2016,964.602
BEN,2017,1004.9639999999999
BEN,2018,1048.961
BFA,2012,602.804
BFA,2013,673.3439999999999
BFA,2014,713.558
BFA,2015,755.752
BFA,2016,799.3059999999999
BFA,2017,844.8299999999999
BFA,2018,892.124
BGD,2012,817.9499999999999
BGD,2013,891.2130000000001
BGD,2014,954.744
BGD,2015,1025.1919999999998
BGD,2016,1103.547
BGD,2017,1189.23
BGD,2018,1283.8439999999998
BGR,2013,7581.5
BGR,2014,7880.713
BGR,2015,8283.611
BGR,2016,8745.207
BGR,2017,9255.678
BGR,2018,9795.947
BHR,2012,23476.527000000002
BHR,2013,23930.485000000004
BHR,2014,24018.238999999998
BHR,2015,24313.053
BHR,2016,24746.532
BHR,2017,25280.211
BHR,2018,25865.158999999996
BHS,2012,22832.912
BHS,2013,23485.148
BHS,2014,24306.273
BHS,2015,25165.440000000002
BHS,2016,26045.401
BHS,2017,26955.687
BHS,2018,27898.248000000003
BIH,2012,4461.167
BIH,2013,4865.572
BIH,2014,5090.89
BIH,2015,5380.371
BIH,2016,5735.689
BIH,2017,6098.539
BIH,2018,6478.184
BLR,2012,6739.428
BLR,2013,7806.860000000001
BLR,2014,8492.709
BLR,2015,8834.246000000001
BLR,2016,9233.669
BLR,2017,9662.371
BLR,2018,10083.164999999999
BLZ,2013,4619.906999999999
BLZ,2014,4724.072
BLZ,2015,4835.344
BLZ,2016,4954.109
BLZ,2017,5073.296
BLZ,2018,5213.237999999999
BOL,2012,2532.483
BOL,2013,2674.1110000000003
BOL,2014,2838.678
BOL,2015,3028.8940000000002
BOL,2016,3230.056
BOL,2017,3447.639
BOL,2018,3659.868
BRA,2012,12078.834
BRA,2013,12290.635
BRA,2014,13027.321
BRA,2015,13794.39
BRA,2016,14630.622000000001
BRA,2017,15514.47
BRA,2018,16386.601
BRB,2012,16151.7
BRB,2013,16804.213
BRB,2014,17516.610999999997
BRB,2015,18311.628999999997
BRB,2016,19179.262000000002
BRB,2017,20126.268000000004
BRB,2018,21160.186
BRN,2012,41702.678
BRN,2013,40647.417
BRN,2014,40973.259
BRN,2015,41873.149
BRN,2016,43774.9
BRN,2017,43236.684
BRN,2018,43537.469
BTN,2012,2954.328
BTN,2013,2978.6
BTN,2014,3454.4330000000004
BTN,2015,3890.203
BTN,2016,4618.189
BTN,2017,5288.91
BTN,2018,6068.476
BWA,2012,9398.132000000001
BWA,2013,9624.293000000001
BWA,2014,9980.34
BWA,2015,10386.442000000001
BWA,2016,10834.394
BWA,2017,11301.571
BWA,2018,11788.893
CAF,2012,446.686
CAF,2013,478.59499999999997
CAF,2014,504.467
CAF,2015,527.747
CAF,2016,552.3069999999999
CAF,2017,576.4559999999999
CAF,2018,603.661
CAN,2013,52364.35600000001
CAN,2014,53462.774
CAN,2015,54866.181
CAN,2016,56335.833
CAN,2017,57862.26099999999
CAN,2018,59325.784
CHE,2012,79033.026
CHE,2013,80472.957
CHE,2014,81283.54299999999
CHE,2015,82085.409
CHE,2016,82977.45199999999
CHE,2017,84003.606
CHE,2018,85126.73
CHL,2012,15410.116
CHL,2013,16273.038
CHL,2014,17251.518
CHL,2015,18467.771
CHL,2016,19789.216
CHL,2017,21146.940000000002
CHL,2018,22606.618
CHN,2013,6628.860000000001
CHN,2014,7277.362000000001
CHN,2015,8018.656000000001
CHN,2016,8828.279
CHN,2017,9724.674
CHN,2018,10711.395999999999
CIV,2012,1053.914
CIV,2013,1177.409
CIV,2014,1255.041
CIV,2015,1338.749
CIV,2016,1419.8519999999999
CIV,2017,1502.599
CIV,2018,1580.3709999999999
CMR,2012,1165.328
CMR,2013,1275.596
CMR,2014,1330.6499999999999
CMR,2015,1391.04
CMR,2016,1453.473
CMR,2017,1519.349
CMR,2018,1587.286
COD,2012,236.83800000000002
COD,2013,251.35000000000002
COD,2014,262.085
COD,2015,274.29499999999996
COD,2016,288.057
COD,2017,302.007
COD,2018,312.524
COG,2012,3346.001
COG,2013,3546.3710000000005
COG,2014,3543.547
COG,2015,3998.545
COG,2016,3980.181
COG,2017,4513.215
COG,2018,4615.387
COL,2012,7854.836
COL,2013,8237.727
COL,2014,8630.336
COL,2015,9038.333
COL,2016,9486.324
COL,2017,9969.819
COL,2018,10513.565999999999
COM,2012,865.143
COM,2013,924.7940000000001
COM,2014,966.134
COM,2015,1007.838
COM,2016,1052.335
COM,2017,1098.5539999999999
COM,2018,1148.1739999999998
CPV,2012,3603.9100000000003
CPV,2013,3946.1710000000003
CPV,2014,4170.108
CPV,2015,4408.277999999999
CPV,2016,4667.426
CPV,2017,4944.028
CPV,2018,5237.885
CRI,2012,9672.908
CRI,2013,10362.613000000001
CRI,2014,11248.12
CRI,2015,12207.4
CRI,2016,13171.181
CRI,2017,14133.833
CRI,2018,15169.288
CYP,2013,NA
CYP,2014,NA
CYP,2015,NA
CYP,2016,NA
CYP,2017,NA
CYP,2018,NA
CZE,2012,18579.310999999998
CZE,2013,19243.053
CZE,2014,19500.698
CZE,2015,20020.14
CZE,2016,20569.332
CZE,2017,20989.386000000002
CZE,2018,21443.556
DEU,2013,44010.366
DEU,2014,44870.350000000006
DEU,2015,45813.556000000004
DEU,2016,46823.702
DEU,2017,47847.333
DEU,2018,48903.012
DJI,2012,1522.9450000000002
DJI,2013,1593.8719999999998
DJI,2014,1668.0729999999999
DJI,2015,1754.5739999999998
DJI,2016,1851.045
DJI,2017,1952.812
DJI,2018,2059.908
DMA,2012,7022.036
DMA,2013,7306.416
DMA,2014,7534.6630000000005
DMA,2015,7790.4039999999995
DMA,2016,8084.852000000001
DMA,2017,8412.446
DMA,2018,8671.414999999999
DNK,2012,56202.22299999999
DNK,2013,58668.005
DNK,2014,59166.48
DNK,2015,59870.147
DNK,2016,60908.398
DNK,2017,60826.755
DNK,2018,60745.4
DOM,2012,5762.982
DOM,2013,5789.406
DOM,2014,5556.4039999999995
DOM,2015,5814.541
DOM,2016,5997.374
DOM,2017,6182.737999999999
DOM,2018,6377.842000000001
DZA,2012,5693.9839999999995
DZA,2013,5683.1630000000005
DZA,2014,5644.137
DZA,2015,5614.63
DZA,2016,5670.151000000001
DZA,2017,5736.079
DZA,2018,5975.677
ECU,2012,5310.629000000001
ECU,2013,5627.1140000000005
ECU,2014,5949.886
ECU,2015,6233.775
ECU,2016,6524.554
ECU,2017,6843.325000000001
ECU,2018,7167.963
EGY,2012,3111.8710000000005
EGY,2013,3145.584
EGY,2014,3131.236
EGY,2015,3263.3570000000004
EGY,2016,3495.217
EGY,2017,3752.44
EGY,2018,4003.4120000000003
ERI,2012,546.3159999999999
ERI,2013,602.438
ERI,2014,656.069
ERI,2015,711.0649999999999
ERI,2016,775.1830000000001
ERI,2017,832.7760000000001
ERI,2018,894.217
ESP,2013,30107.698
ESP,2014,30514.825
ESP,2015,31176.043
ESP,2016,31874.577
ESP,2017,32639.578999999998
ESP,2018,33451.962
EST,2013,18026.795000000002
